ID,分类ID,风险分类,风险级别,CRM拜访记录文本,合规判定依据
014,01,商业贿赂与利益交换,Critical,跟陈主治碰面，陈主治提出爱人没有工作，问能否安排在我们代理商公司挂名拿份工资，我已协调好代理商，陈主治答应全力开药。,安排医生亲属挂名领薪，属于变相行贿。
015,01,商业贿赂与利益交换,Critical,拜访褚主任，承诺本月只要能完成 150 盒进货，就赞助其女儿出国的全额机票和首月生活费。,资助医生子女留学费用，严重违规利益交换。
016,01,商业贿赂与利益交换,Critical,跟卫医生沟通，卫医生要搞私人课题缺乏资金，我承诺私下打款 3 万元到其个人账户作为启动资金，不走公司正规 RWS 流程。,绕过合规审核私人打款资助课题。
017,01,商业贿赂与利益交换,Critical,拜访蒋主任，送去名牌皮包一个，价值约 8000 元，主任收下并承诺在院周会上积极推荐我们产品。,赠送奢侈品牌包具行贿。
018,01,商业贿赂与利益交换,Critical,跟沈大夫沟通，沈大夫要买车缺首付，我帮其垫付了 1 万元首付款，沈大夫答应下半年所有新病人首选我们产品。,帮医生垫付购车首付换取处方带量。
019,01,商业贿赂与利益交换,Critical,拜访韩主任，韩主任要办私人宴席，我为其结清了酒店餐饮账单 6000 元，换取下季度继续独家供应。,结清医生私人宴席账单。
020,01,商业贿赂与利益交换,Critical,跟杨大夫交流，杨大夫抱怨电费和物业费太贵，我直接帮其缴纳了一年的私人住房物业费和水电费，换取其支持。,代缴私人生活物业水电费。
021,01,商业贿赂与利益交换,Critical,拜访朱主任，承诺只要科室用量维持在区域第一，每年定期送其父母去海南疗养一个月并包办一切开销。,包办医生父母疗养度假开销。
022,01,商业贿赂与利益交换,Critical,跟秦大夫碰面，秦大夫要求把上次学术会的讲课费翻倍，说如果不给双倍就不再开我们药，我已经私下补了现金差额。,私下补齐现金讲课费差额，超越正常 FMV 标准。
023,01,商业贿赂与利益交换,Critical,拜访尤主任，给主任送了价值 5000 元的加油充值卡，主任收下并表示后续会提醒年轻医生多开。,赠送大额加油卡作为贿赂。
024,01,商业贿赂与利益交换,Critical,跟许大夫聊，许大夫提出如果能给他家里安装一套全屋净水系统就帮我们冲量，今天已安排师傅上门装好。,为医生安装高值家居设备换取处方冲量。
025,01,商业贿赂与利益交换,Critical,拜访何主任，送上了高档冬虫夏草礼盒，主任很满意，当场答应把这个月的采购计划增加 30%。,赠送高价名贵滋补品行贿。
026,01,商业贿赂与利益交换,Critical,与吕大夫沟通，吕大夫索要某高端俱乐部年卡，我已用市场活动费用套现办理完毕送到其手中。,套现市场活动经费购买高端会所年卡。
027,01,商业贿赂与利益交换,Critical,拜访施主任，给其准备了最新款平板电脑作为学术交流‘小礼物’，主任表示很实用，后续会大力支持。,向医生赠送高值电子产品。
028,01,商业贿赂与利益交换,Critical,跟张主治交流，张主治要参加私人培训班，学费 8000 元让我报销，我通过贴票的形式帮其处理掉了。,违规报销医生私人培训学费。
029,01,商业贿赂与利益交换,Critical,拜访孔主任，主任提出家里旧电视坏了，我今天在京东下单了一台 85 寸液晶电视送货到主任家。,赠送高值家电产品。
030,01,商业贿赂与利益交换,Critical,跟曹大夫沟通，曹大夫答应帮忙把竞品的份额拉下来，前提是按盒提供 30 元的‘临床观察费’现金。,以‘临床观察费’为名变相发放处方回扣。
031,01,商业贿赂与利益交换,Critical,拜访严主任，送了价值 3000 元的商场购物卡，主任收下后表示本月科室采购量会优先保证我们。,赠送商场购物卡行贿。
032,01,商业贿赂与利益交换,Critical,与华大夫碰面，华大夫想去日本旅游，我帮其订好了全家人的酒店和环球影城门票，华大夫承诺回来后大批开药。,资助医生全家出境旅游及门票。
033,01,商业贿赂与利益交换,Critical,拜访金主任，主任暗示孩子结婚需要用车，我安排了公司合作租赁公司的 4 辆奔驰车免费作为婚车使用。,免费提供高档婚车服务利益输送。
034,01,商业贿赂与利益交换,Critical,跟魏大夫沟通，魏大夫要求按季度结回扣，我已将准备好的 1.5 万元现金装在茶叶盒里交到了他手里。,利用茶叶盒隐蔽赠送现金回扣。
035,01,商业贿赂与利益交换,Critical,拜访陶主任，给主任私人送了一台高级咖啡机，主任非常喜欢，表示后续科室学术会议都由我们承办。,向医生赠送高值生活家电。
036,01,商业贿赂与利益交换,Critical,与姜大夫交流，姜大夫要买高端羽毛球拍，我买了两支总价 4000 元的球拍送去，换取其多开处方。,赠送高价体育用品行贿。
037,01,商业贿赂与利益交换,Critical,拜访戚主任，答应帮其报销上周私人聚会的餐饮发票共计 4500 元，主任承诺下周开会帮我们做宣传。,报销医生私人餐饮聚会发票。
038,01,商业贿赂与利益交换,Critical,跟谢大夫碰面，谢大夫索要某演唱会内场门票两张，我高价从黄牛处购得送给对方，对方答应多用我们产品。,购买高价演唱会门票讨好医生。
039,01,商业贿赂与利益交换,Critical,拜访邹主任，给主任送去了价值 6000 元的进口保健品礼盒，主任承诺本月在门诊多带量。,赠送高值保健品行贿。
040,01,商业贿赂与利益交换,Critical,与喻大夫沟通，喻大夫需要处理私人发票 3000 元，我用科室会餐费的名义帮其贴现办理。,利用假会议餐费贴现帮医生报销私人发票。
041,01,商业贿赂与利益交换,Critical,拜访柏主任，答应为主任的私人工作室免费提供办公打印机及纸张消耗品，主任保证我们药的采购份额。,资助医生私人工作室物资设施。
042,01,商业贿赂与利益交换,Critical,跟水大夫交流，水大夫要买单反镜头，我帮其付了 8000 元尾款，对方承诺下月处方量提升 50%。,替医生支付私人摄影器材尾款。
043,01,商业贿赂与利益交换,Critical,拜访窦主任，给主任安排了温泉酒店周末两晚住宿，主任表示放松得很好，下周会关照我们的量。,为医生提供免费温泉酒店度假住宿。
044,01,商业贿赂与利益交换,Critical,与章大夫碰面，章大夫要求按人头给推荐费，每推荐一个新病人给 100 元，我已同意并先垫付了 1000 元。,按推荐新病人人头给付现金推荐费。
045,01,商业贿赂与利益交换,Critical,拜访云主任，送去定制金条一枚（重 10g），主任收下并承诺在本院药事会上极力促成我们新药进院。,赠送黄金等贵金属行贿。
046,05,患者个人隐私数据泄漏,Critical,跟踪典型病例：患者张建国，男，58岁，身份证 32010219650315881X，电话 13912345678，诊断为肺腺癌 IV 期，目前用药 2 个周期。,CRM 记录中包含了患者未脱敏姓名、完整身份证号及手机号。
047,05,患者个人隐私数据泄漏,Critical,拜访刘主任，交流重点患者李晓梅（住址：南京市玄武区中山路 88 号 402 室，电话 13888889999）的基因检测 NGS 报告，显示 EGFR T790M 阳性。,泄露患者真实姓名、详细家庭住址、电话及基因检测隐私。
048,05,患者个人隐私数据泄漏,Critical,记录顺畅用药患者：王大为，病案号 20240819003，身份证号 310115198011024412，服用我药后肿瘤缩小 30%。,记录未脱敏的住院病案号及身份证号信息。
049,05,患者个人隐私数据泄漏,Critical,主任分享了一例特殊不良反应，患者陈桂英，微信号 cgy197205，手机号 13655554321，服药后出现 III 度皮疹，已停药。,包含患者真实姓名、微信号及手机号。
050,05,患者个人隐私数据泄漏,Critical,整理随访名单：赵德福（13700001111）、钱秀兰（13922223333）、孙建军（13544445555），三位患者本周均已完成续方。,在自由文本中批量列出患者真实姓名与手机号码。
051,05,患者个人隐私数据泄漏,Critical,拜访周医生，获取了患者周小红（身份证 33010619920820122X）的完整出院小结照片并存档。,上传或记录包含身份证的完整出院小结。
052,05,患者个人隐私数据泄漏,Critical,跟进患者吴强（身份证 340104197512013311），该患者在上海市第一人民医院门诊开具了我药 3 盒。,泄露患者姓名、身份证号及具体就诊医院。
053,05,患者个人隐私数据泄漏,Critical,记录入组患者：郑玉珍，女，62岁，电话 13399998888，家属联系人郑小明 13399998889，用药反馈良好。,包含患者及家属真实姓名与联系电话。
054,05,患者个人隐私数据泄漏,Critical,拜访王医生，记录患儿王小宝（7岁，父：王健 13111112222）的血常规报告单数据，中性粒细胞偏低。,泄露未成年患者及其监护人真实姓名和电话。
055,05,患者个人隐私数据泄漏,Critical,记录赠药申请患者：冯建国，身份证 410102195804051512，银行卡号 6222021001112223334，用于后续援助审核。,泄露患者身份证号及个人银行卡账号。
056,05,患者个人隐私数据泄漏,Critical,交流难治性病例：患者蒋伟，病历号 H20240901，手机 18912344321，合并乙肝及糖尿病。,将病历号、手机号与敏感既往病史（乙肝）挂钩泄露。
057,05,患者个人隐私数据泄漏,Critical,跟踪用药疗效：沈红梅（身份证 320203198809102022），服药 1 个月后 CT 显示肺部病灶稳定。,包含患者姓名及完整身份证号。
058,05,患者个人隐私数据泄漏,Critical,记录脱落患者：韩庚（电话 13800138000），因经济原因断药，住址：杭州市西湖区文三路 100 号。,包含患者姓名、电话及具体住址。
059,05,患者个人隐私数据泄漏,Critical,拜访杨主任，讨论患者杨光明（病案号 8890123，微信 ygm_2024）的靶向用药耐药问题。,记录患者姓名、病案号及个人微信。
060,05,患者个人隐私数据泄漏,Critical,记录转诊患者：朱爱国，身份证 360102196001010011，由县人民医院转诊至省肿瘤医院继续使用我药。,包含患者姓名、身份证及转诊轨迹。
061,05,患者个人隐私数据泄漏,Critical,收集 RWS 案例：秦秀英，女，70岁，电话 15900001111，用药后生活质量明显改善。,记录患者真实姓名与电话。
062,05,患者个人隐私数据泄漏,Critical,跟进患者尤佳（身份证 310104199505051234），其基因检测报告单已拿到，无突变。,泄露患者身份证号与基因检测隐私。
063,05,患者个人隐私数据泄漏,Critical,记录买赠活动患者：许国庆，13611110000，身份证 320502197010012211，邮寄地址：苏州市工业园区星湖街 99 号。,包含完整 PIPL 敏感个人数据组合。
064,05,患者个人隐私数据泄漏,Critical,拜访何医生，拿到患者何小玲（病历号 998123，电话 13777778888）的疗效评估随访表。,包含病历号与手机号。
065,05,患者个人隐私数据泄漏,Critical,跟踪罕见病患者：吕建军，身份证 110101198203041112，正在申请基金会药物援助。,包含姓名及身份证号。
066,05,患者个人隐私数据泄漏,Critical,记录不良反应患者：施美华，电话 13588880000，服药后出现轻度恶心，已对症处理。,包含姓名及手机号。
067,05,患者个人隐私数据泄漏,Critical,拜访张大夫，交流患者张伟（身份证 370102197811112222，门诊号 554321）的复查结果。,包含身份证及门诊号。
068,05,患者个人隐私数据泄漏,Critical,记录长期生存患者：孔繁荣，女，65岁，电话 13966665555，无进展生存期已达 18 个月。,包含真实姓名与电话。
069,05,患者个人隐私数据泄漏,Critical,跟进患者曹铁成（身份证 210102195507083312），该患者反馈药品包装有破损。,包含姓名与身份证号。
070,05,患者个人隐私数据泄漏,Critical,记录合规抽查案例：严雪梅，病案号 A908712，手机 13812341234，医生反馈疗效符合预期。,包含病案号与手机号。
071,05,患者个人隐私数据泄漏,Critical,拜访华医生，记录患者华少（身份证 310101199001015555）的血药浓度监测数据。,包含身份证号。
072,05,患者个人隐私数据泄漏,Critical,跟进换药患者：金明，电话 13312345678，住址：北京市朝阳区建国路 88 号，从竞品换为我药。,包含电话与具体居住地址。
073,05,患者个人隐私数据泄漏,Critical,记录特殊人群：孕妇魏彩云，28岁，身份证 360202199602021234，询问能否使用我药。,包含孕妇姓名及身份证号。
074,05,患者个人隐私数据泄漏,Critical,拜访陶大夫，收集患者陶强（病历号 776543，微信号 taoqiang_001）的影像学评价结果。,包含病历号与微信号。
075,05,患者个人隐私数据泄漏,Critical,记录随访案例：姜老先生，80岁，家属联系电话 13900009999（姜小姜），用药后疼痛明显缓解。,包含家属姓名及联系电话。
076,05,患者个人隐私数据泄漏,Critical,跟踪续方患者：戚小龙，身份证 320106200003034411，本月已在 DTP 药房购买 2 盒。,包含姓名及身份证号。
077,05,患者个人隐私数据泄漏,Critical,记录优惠券发放患者：谢广坤，电话 13788889999，已成功绑定个人赠药小程序账号。,包含真实姓名与手机号。
078,05,患者个人隐私数据泄漏,Critical,拜访邹医生，记录患者邹春兰（身份证 510103197212128822）的肝功能化验单异常指标。,包含身份证号与医疗化验数据。
079,05,患者个人隐私数据泄漏,Critical,记录首诊病例：喻文波，25岁，手机 18888888888，诊断为急性淋巴细胞白血病。,包含真实姓名、手机号及重病诊断。
080,05,患者个人隐私数据泄漏,Critical,跟进患者柏林（身份证 310112198404041122），其病历照片已保存在个人手机相册中。,包含姓名及身份证号。
081,03,主动超说明书/超适应症推广,Critical,拜访儿科张主任，向其推荐了我药在儿童发烧和小儿惊厥中的疗效，建议主任在 6 岁以下患儿中尝试开具（注：说明书明确标注仅限 18 岁以上成人使用）。,主动向医生推广未经批准的儿童人群超适应症用药。
082,03,主动超说明书/超适应症推广,Critical,沟通呼吸科刘大夫，虽然目前说明书只批准了二线治疗，但我建议刘大夫对于初诊患者直接作为一线首选方案推广，效果更好。,擅自突破说明书规定的治疗阶梯（二线改一线）。
083,03,主动超说明书/超适应症推广,Critical,拜访妇产科陈主任，向其宣讲我们产品在孕妇孕吐中的显著止吐效果，建议其在早孕患者中试用（说明书标注孕妇禁用）。,推广说明书明确禁用的孕妇人群超适应症。
084,03,主动超说明书/超适应症推广,Critical,跟消化科李医生交流，建议将每日一次 50mg 的标准剂量提高到每日两次 100mg，说这样可以快速达到血药浓度峰值。,主动建议医生超越说明书推荐的最大安全剂量。
085,03,主动超说明书/超适应症推广,Critical,拜访心内科王主任，推荐我药用于治疗高血压合并肾衰竭患者（说明书规定重度肾功能不全患者禁用）。,向禁忌症人群（重度肾功能不全）推广用药。
086,03,主动超说明书/超适应症推广,Critical,与肾内科赵大夫沟通，推荐将静脉滴注给药方式改为局部穴位封闭注射，声称这样起效更快且不伤肝。,擅自改变说明书规定的给药途径。
087,03,主动超说明书/超适应症推广,Critical,拜访皮肤科周主任，向其推销我药在银屑病中的神奇疗效（目前该适应症尚在 III 期临床试验中，未获批）。,推广尚未获得官方批准的试验中适应症。
088,03,主动超说明书/超适应症推广,Critical,跟神经内科钱医生聊，建议将原本 7 天的疗程延长至 30 天长期服用，以此来维持疗效并增加用量。,擅自延长说明书规定的安全疗程期限。
089,03,主动超说明书/超适应症推广,Critical,拜访肿瘤科孙主任，极力推荐将我药与竞品 B 联合使用，声称有协同双杀作用（未获得联合用药批准）。,主动推广未经批准的联合用药方案。
090,03,主动超说明书/超适应症推广,Critical,与内分泌科吴大夫交流，建议其将我药作为减肥降脂药物推荐给非糖尿病肥胖人群（说明书仅批准用于 2 型糖尿病）。,超适应症推广用于非批准的减肥人群。
091,03,主动超说明书/超适应症推广,Critical,拜访风湿免疫科郑主任，建议在强直性脊柱炎患者中将剂量加倍使用，称临床观察双倍剂量效果翻番。,主动引导医生加倍剂量超说明书使用。
092,03,主动超说明书/超适应症推广,Critical,跟骨科王医生沟通，推荐我药用于骨折术后加速骨愈合（说明书仅用于骨质疏松症）。,超出说明书批准的病种范围进行推广。
093,03,主动超说明书/超适应症推广,Critical,拜访血液科蒋主任，建议在老年急性白血病患者中把口服给药压碎后通过胃管鼻饲（说明书明确规定须整粒吞服，不可压碎）。,擅自改变剂型使用方式，违反说明书注意事项。
094,03,主动超说明书/超适应症推广,Critical,与眼科沈医生聊，建议将眼用凝胶涂抹于耳道内治疗外耳道炎，声称成分通用且消炎效果好。,擅自跨部位改变用药部位与适应症。
095,03,主动超说明书/超适应症推广,Critical,拜访精神科韩主任，推荐我药用于抑郁症伴发焦虑的青少年患者（说明书标注 18 岁以下人群安全性未确定）。,向安全性未确定的未成年人群推广。
096,03,主动超说明书/超适应症推广,Critical,跟肝胆外科杨大夫沟通，建议在肝功能重度受损患者中无需减量，继续按原剂量开具。,违反特殊人群（肝功能受损）减量说明。
097,03,主动超说明书/超适应症推广,Critical,拜访急诊科朱主任，建议将原本静脉缓慢滴注改为静脉推注，称可以在 3 分钟内快速起效。,擅自改变给药速度与方式，增加安全隐患。
098,03,主动超说明书/超适应症推广,Critical,与老年科秦医生交流，推荐将我药作为老年痴呆症的预防性药物长期服用（获批适应症为轻中度血管性痴呆治疗）。,将治疗药物擅自扩充为预防性用途推广。
099,03,主动超说明书/超适应症推广,Critical,拜访麻醉科尤主任，推荐我药用于术后镇痛的自控镇痛泵（PCA）连续给药（说明书仅批准单次肌内注射）。,改变给药途径与给药器具模式。
100,03,主动超说明书/超适应症推广,Critical,跟感染科许大夫沟通，建议将我药用于真菌感染的经验性用药（说明书要求必须有明确的真菌培养阳性结果）。,突破说明书规定的用药前提限制。
101,03,主动超说明书/超适应症推广,Critical,拜访ICU何主任，建议在脓毒症休克早期直接大剂量冲顶使用，称国外有文献支持这样用。,仅凭单篇文献擅自推广超大剂量使用。
102,03,主动超说明书/超适应症推广,Critical,与疼痛科吕医生聊，建议将外用贴剂剪开分次贴敷于不同痛点（说明书要求完整贴敷，不可剪开）。,擅自改变破坏剂型完整性进行使用指导。
103,03,主动超说明书/超适应症推广,Critical,拜访变态反应科施主任，推荐我药用于脱敏治疗期间的急性过敏性休克抢救（说明书仅用于慢性荨麻疹）。,擅自扩充至急救重症未经批准适应症。
104,03,主动超说明书/超适应症推广,Critical,跟乳腺科张大夫沟通，建议在三阴性乳腺癌患者中替代标准化疗方案（说明书仅为联合辅助治疗）。,擅自将辅助治疗药物推广为替代主导治疗方案。
105,03,主动超说明书/超适应症推广,Critical,拜访血管外科孔主任，推荐我药用于下肢静脉曲张的局部硬化剂治疗后消肿（未获批该适应症）。,推广未经批准的特定外科术后适应症。
106,03,主动超说明书/超适应症推广,Critical,与变态反应科曹医生交流，建议将喷雾剂直接喷于口腔粘膜治疗溃疡（说明书仅批准鼻腔喷雾）。,改变给药部位（鼻腔改口腔）。
107,03,主动超说明书/超适应症推广,Critical,拜访产科严主任，推荐我药用于产后止血（说明书明确规定哺乳期妇女慎用或禁用）。,向哺乳期禁用/慎用人群推广。
108,03,主动超说明书/超适应症推广,Critical,跟代谢科华大夫沟通，建议将我药与胰岛素在同一针注射器内混合后皮下注射（说明书严禁与其他药物混合）。,违反说明书物理化学配伍禁忌提示。
109,03,主动超说明书/超适应症推广,Critical,拜访肛肠科金主任，建议将口服片剂研碎后做成灌肠剂使用（说明书仅限口服吞服）。,改变给药途径（口服改灌肠）。
110,03,主动超说明书/超适应症推广,Critical,与针灸理疗科魏医生交流，推荐将我药注射液用于水针穴位注射治疗腰椎间盘突出（未获批）。,推广未经批准的穴位注射用法。
111,03,主动超说明书/超适应症推广,Critical,拜访心外科陶主任，建议在冠脉搭桥术中直接将药液冲洗血管床（说明书仅批准静脉点滴）。,术中擅自改变给药方式与局部冲洗用法。
112,03,主动超说明书/超适应症推广,Critical,跟口腔科姜大夫沟通，推荐我药用于牙周炎术后骨再生（说明书仅用于全身性骨质疏松）。,将全身性给药扩充至局部特定牙科适应症。
113,03,主动超说明书/超适应症推广,Critical,拜访核医学科戚主任，建议将我药作为甲亢碘131治疗前的预处理药物（未获批预处理适应症）。,推广未经批准的特定放疗预处理适应症。
114,03,主动超说明书/超适应症推广,Critical,与生殖医学科谢医生交流，推荐我药用于促排卵周期中的子宫内膜增厚（说明书无生殖领域适应症）。,擅自扩充至生殖医学未批准领域。
115,03,主动超说明书/超适应症推广,Critical,拜访变态反应科邹主任，建议在花粉季节到来前 1 个月开始预防性给药（说明书仅用于发作期症状缓解）。,擅自提前给药时间节点进行预防性推广。
116,03,主动超说明书/超适应症推广,Critical,跟微创外科喻大夫沟通，建议将冻干粉针剂用生理盐水稀释后直接进行腹腔冲洗（仅限静脉输液）。,擅自改变配制方法与腹腔冲洗给药。
117,03,主动超说明书/超适应症推广,Critical,拜访烧伤科柏主任，推荐我药用于重度烧伤创面的生长促进（说明书仅批准普通浅表创面）。,将轻中度适应症擅自夸大至重度烧伤。
118,03,主动超说明书/超适应症推广,Critical,与运动医学科窦医生聊，建议将胶囊拆开将药粉撒在肌腱缝合处（说明书明确胶囊必须整粒吞服）。,破坏胶囊剂型外用推广。
119,03,主动超说明书/超适应症推广,Critical,拜访康复科章主任，推荐我药用于脑卒中后偏瘫患者的肌张力改善（未获批中枢神经康复适应症）。,超出批准的疾病种类推广。
120,03,主动超说明书/超适应症推广,Critical,跟变态反应科云大夫沟通，建议对于中度过敏患者剂量直接翻倍，称临床普遍这样用。,无循证依据引导医生超越说明书剂量。
121,07,夸大疗效与绝对化宣讲,Medium,拜访心内科张主任，宣讲我们产品是目前国内市场上唯一能够 100% 彻底根治高血压且终身绝不复发的黄金首选药物。,使用了“100%彻底根治”、“绝不复发”等绝对化违规词汇。
122,07,夸大疗效与绝对化宣讲,Medium,沟通肿瘤科刘大夫，跟刘大夫强调我们这个靶向药是全网最安全、零副作用的保命神药，任何患者用了都绝对不会吐。,宣称“零副作用”、“绝对不会吐”等绝对化安全性保证。
123,07,夸大疗效与绝对化宣讲,Medium,拜访消化科陈主任，向其保证患者只要服用我们产品 3 天内必定见效，有效率高达 99.9%，遥遥领先同类所有竞品。,对起效时间做断言性保证，使用“遥遥领先”等最高级比较。
124,07,夸大疗效与绝对化宣讲,Medium,跟呼吸科李医生交流，宣称我药是世界上最顶级的止咳祛痰药，没有任何禁忌症，男女老少通吃，绝对没有任何风险。,使用“最顶级”、“没有任何禁忌症”等夸大绝对化描述。
125,07,夸大疗效与绝对化宣讲,Medium,拜访内分泌科王主任，强调我们降糖药是行业内唯一无死角完美控糖的产品，彻底告别低血糖风险，百分之百安全。,断言“百分之百安全”、“无死角完美”。
126,07,夸大疗效与绝对化宣讲,Medium,与骨科赵大夫沟通，宣称使用我药后骨折愈合速度能提高 10 倍，是同类产品中唯一能实现立竿见影效果的神药。,虚构“提高10倍”、“立竿见影神药”等夸大描述。
127,07,夸大疗效与绝对化宣讲,Medium,拜访神经科周主任，宣讲我药可以 100% 逆转阿尔茨海默病进程，是目前全球唯一被证明能恢复记忆力的奇迹药物。,对无法根治的疾病做出“100%逆转”、“奇迹药物”的夸大断言。
128,07,夸大疗效与绝对化宣讲,Medium,跟皮肤科钱医生聊，向其保证我们外用膏药绝对无刺激、零过敏率，是同类竞争产品中品质最好的第一品牌。,保证“零过敏率”，使用“第一品牌”违规广告词。
129,07,夸大疗效与绝对化宣讲,Medium,拜访肾内科孙主任，宣传我药能百分百保护肾功能，彻底阻断尿毒症演变，是肾病患者唯一的终极救星。,使用“百分百保护”、“唯一终极救星”等绝对化词汇。
130,07,夸大疗效与绝对化宣讲,Medium,与妇科吴大夫交流，保证患者吃完一个疗程后炎症 100% 消退，绝对不会复发，疗效冠绝全行业。,断言“100%消退”、“绝对不复发”、“冠绝行业”。
131,07,夸大疗效与绝对化宣讲,Medium,拜访风湿科郑主任，宣称我药是全球最强效的止痛药物，一针下去瞬间无痛，且终生不会产生耐药性。,使用“全球最强效”、“终生不产生耐药性”夸大宣讲。
132,07,夸大疗效与绝对化宣讲,Medium,跟血液科蒋大夫沟通，向其承诺我们升白针没有任何骨痛副作用，百分之百保质保量快速升白。,保证“没有任何副作用”、“百分之百”。
133,07,夸大疗效与绝对化宣讲,Medium,拜访肝胆科沈主任，宣传我药能够 100% 清除乙肝病毒，是目前全中国疗效最完美的保肝药物。,断言“100%清除病毒”、“最完美”。
134,07,夸大疗效与绝对化宣讲,Medium,与精神科韩医生聊，宣称我药是唯一不引起嗜睡的抗焦虑药物，服用后百分之百不影响开车的绝对安全产品。,做“百分之百不影响开车”等绝对安全性承诺。
135,07,夸大疗效与绝对化宣讲,Medium,拜访急诊科杨主任，宣称我药是复苏抢救中的万能神药，成功率比传统方案高出数倍且绝无并发症。,使用“万能神药”、“绝无并发症”夸大宣讲。
136,07,夸大疗效与绝对化宣讲,Medium,跟眼科朱大夫交流，保证使用我们滴眼液后视力可恢复到 1.5，彻底摆脱白内障手术，100% 有效。,对严重眼疾做出“彻底摆脱手术”、“100%有效”断言。
137,07,夸大疗效与绝对化宣讲,Medium,拜访老年科秦主任，宣传我药是延缓衰老的终极圣品，能使血管年龄年轻 10 岁，绝无任何毒副作用。,使用“终极圣品”、“绝无毒副作用”等非科学夸大表述。
138,07,夸大疗效与绝对化宣讲,Medium,与麻醉科尤大夫沟通，宣称我药镇痛效果是打麻醉的 5 倍，且百分之百不抑制呼吸，是无可替代的产品。,使用“百分之百不抑制呼吸”、“无可替代”等词。
139,07,夸大疗效与绝对化宣讲,Medium,拜访感染科许主任，向其保证我们抗生素绝不产生耐药菌，是杀灭万能超级细菌的唯一终结者。,宣称“绝不产生耐药菌”、“唯一终结者”。
140,07,夸大疗效与绝对化宣讲,Medium,跟ICU何大夫聊，宣传我药能 100% 降低 ICU 患者死亡率，是临床救治中无懈可击的王牌。,断言“100%降低死亡率”、“无懈可击”。
141,07,夸大疗效与绝对化宣讲,Medium,拜访疼痛科吕主任，宣讲我药能一次性彻底根治顽固性神经痛，永不复发，是全网评价最好的止痛药。,使用“彻底根治”、“永不复发”绝对化词汇。
142,07,夸大疗效与绝对化宣讲,Medium,与变态反应科施医生交流，保证我们抗过敏药 1 分钟快速见效，且 100% 不引起打瞌睡。,对起效时间及副作用做“100%不引起打瞌睡”的绝对保证。
