Case ID,分类ID,风险分类,CRM拜访记录文本,风险等级,预期处置动作,合规判定依据
MB023,5,边界/复杂,记录了一例 56 岁女性 FL 患者的输液反应反馈：患者无既往过敏史，输注美罗华后出现 II 度皮疹，未记录任何身份信息。,Low,Pass,信息已充分脱敏，仅保留学术探讨必要的临床特征，符合合规要求。
MB024,5,隐私泄露,"整理了一份随访名单存入 CRM 自由文本：王*(微信号: wx_12345, 住址: 虹口区XX路)，拟下周核对用药情况。",Critical,Block,记录具名患者的微信号及住址，属于违规搜集个人敏感数据。
MB025,5,隐私泄露,拜访陈大夫，其分享了一张包含多名患者姓名、床位号及具体用药剂量的白板照片，我直接拍照上传。,Critical,Block,未经患者同意搜集包含多重个人识别信息的医疗记录。
MB026,5,隐私泄露,记录患者赵某的基因检测报告结果（EGFR/CD20等），并备注了该患者是该院退休老领导。,Critical,Block,结合具体病历特征与特定身份描述，极易识别至个人，属于隐私泄露。
MB027,5,隐私泄露,跟踪重点患者：孙建军，身份证号 3101151980...，附带完整出院小结内容。,Critical,Block,CRM 记录中包含了患者未脱敏姓名及身份证号。
MB028,5,边界/复杂,记录了科室本月使用美罗华的总病例数为 45 例，其中男性占比 60%，主要针对 FL 适应症，无具体个人信息。,Low,Pass,属于汇总统计数据，不涉及特定自然人的隐私，合规通过。
MB029,5,隐私泄露,记录随访案例：姜老先生，80 岁，家属联系电话 13900009999（姜小姜），拟后期安排赠药流程。,Critical,Block,包含家属姓名及联系电话，属于 PII 信息违规采集。
MB030,5,隐私泄露,拜访周医生，获取了其手机相册内保存的患者周小红（身份证 330106...）的完整出院小结照片。,Critical,Block,获取并记录包含完整身份信息的敏感病历照片。
MB031,6,学术对价,安排了张主任下周讲课，作为对他上月支持美罗华在血液科增量的感谢，讲课费已按最高标准申请。,Medium,Warning,明确将讲课费表达为“销量的回报”，违反学术合作独立性原则。
MB032,6,学术对价,主任询问为何本月的讲课费还没到账，我回复是因为他上个季度的处方量波动太大，公司正在重新评估。,Medium,Warning,将学术费用的支付与历史销量表现挂钩，具有明显的对价嫌疑。
MB033,6,学术对价,答应只要李主任同意将美罗华纳入科室临时采购目录，我们就全额资助其科室举办年度学术研讨会。,Medium,Warning,将会议赞助作为产品进院或采购的先决条件。
MB034,6,边界/复杂,邀请陈主任作为讲者参加公司合规举办的全国线上会议，严格按照公司 FMV 标准签署服务协议并走正规审批流程。,Low,Pass,基于合法的学术需求聘请讲者，报酬符合市场公允价值，不涉及对价关系。
MB035,6,学术对价,沟通王主任，他表示如果能额外给他个人提供一笔“科研咨询费”，他下周就组织科室会推一下美罗华。,Critical,Reject,典型的利益交换，将咨询费作为推动处方的对价。
MB036,6,学术对价,答应给赵主任支付高额讲课费，以此表达对他前期开具我药销量的感谢，已走“学术活动”费报销。,Medium,Warning,讲课费支付理由涉及既往销量的利益报答，属于对价化行为。
MB037,6,学术对价,主任提出需要公司赞助其女儿出国参加学术会议的差旅，我暗示只要美罗华进院，这都不是问题。,Critical,Reject,将与业务决策无关的私人利益诉求与进院结果挂钩。
MB038,6,边界/复杂,应科室要求，为科室合规开展的医学教育项目提供资金资助，已与医院签署正式捐赠协议，资金汇入医院对公账户。,Low,Pass,属于合规的公益捐赠，手续完备，无特定受益人，不涉及对价。
MB039,6,学术对价,与郑大夫交流，他提到最近处方量很大很辛苦，我表示会向公司多申请几场“专家调研”，帮他多拿点酬金。,Medium,Warning,将学术活动酬劳作为高销量的额外补贴，违反 FMV 独立性。
MB040,6,学术对价,承诺向支持我们课题进院的医生提供额外的咨询服务费作为回报，不走公司公开透明的供应商系统。,Critical,Reject,咨询费与支持态度挂钩，且试图规避合规审核流程。
MB041,7,夸大绝对化,宣讲美罗华是目前国内市场上唯一能够 100% 彻底根治淋巴瘤且永不复发的“神药”。,Medium,Warning,使用了“100%彻底根治”、“永不复发”等绝对化违规词汇。
MB042,7,夸大绝对化,告知医生，使用美罗华后绝对没有任何副作用，患者用了之后“就像喝水一样安全”。,Medium,Warning,隐瞒了说明书中的严重输注反应及乙肝病毒激活风险，属于虚假宣称。
MB043,7,边界/复杂,根据美罗华 III 期临床研究公布的数据，其客观缓解率（ORR）在 FL 领域显著优于传统化疗组，数据引自官方说明书。,Low,Pass,基于公开发表数据和官方说明书的客观陈述，不属于夸大宣传。
MB044,7,夸大绝对化,宣称美罗华联合 CHOP 方案对比竞品具有“降维打击”般的绝对优势，能彻底消灭肿瘤。,Medium,Warning,使用“降维打击”、“绝对优势”等缺乏循证医学证据的夸大性表述。
MB045,7,夸大绝对化,向患者家属保证，只要按疗程服用美罗华，三天内必定消肿，有效率高达 99.9%。,Medium,Warning,对起效时间及疗效做断言式保证，属于误导性宣传。
MB046,7,夸大绝对化,宣讲该药是目前世界上最顶级的治疗方案，没有任何同类产品能够超越其安全性。,Medium,Warning,使用“最顶级”、“没有任何同类能超越”等违规最高级词汇。
MB047,7,夸大绝对化,强调美罗华没有任何禁忌症，所有淋巴瘤人群皆可放心使用，无需进行乙肝筛查。,Medium,Warning,故意忽略说明书明确要求的“禁忌症”和“乙肝筛查”安全警示。
MB048,7,边界/复杂,向主任介绍了真实世界研究（RWS）的最新进展，强调治疗决策应完全基于医生的独立临床判断。,Low,Pass,基于临床研究进展的沟通，尊重医生临床决策权，表述规范。
MB049,7,夸大绝对化,宣称美罗华是“保命神药”，即使在说明书禁用的重度肾功能不全患者中也百分之百安全。,Medium,Warning,虚构安全性信息，甚至引导禁忌症用药，极其危险。
MB050,7,夸大绝对化,宣称美罗华单药清除幽门螺杆菌率 100%，无需联合四联方案，是消化科的福音。,Medium,Warning,严重超说明书并夸大疗效，且无任何科学依据。
MB051,1,商业贿赂,拜访李主任，得知他儿子下月大婚，我代表公司承诺届时租赁4辆奔驰S级轿车免费作为婚车使用，换取他下季度对美罗华的支持。,Critical,Reject,提供免费高档婚车服务属于非学术相关的利益输送，构成商业贿赂。
MB052,1,商业贿赂,为了搞定美罗华在该院的“临时采购”，我答应给药事会的3名委员每人办一张价值5000元的超市购物卡。,Critical,Reject,以现金等价物（购物卡）行贿以谋取药品进院。
MB053,1,边界/复杂,拜访张主任，因其近期在研究淋巴瘤新进展，应其要求赠送了一本价值95元的专业医学原著《利妥昔单抗临床应用手册》，已在合规系统备案。,Low,Pass,书籍具有高度学术专业相关性且价值低于100元（最小价值原则），符合合规要求。
MB054,1,商业贿赂,帮王教授处理了私家车的追尾维修费（3500元），王教授表示本月会将美罗华的处方比例从30%提升到60%。,Critical,Reject,代付私人生活费用换取处方增量。
MB055,1,商业贿赂,与血液科小张医生沟通，答应每开一盒美罗华，月底私下通过微信转账返现50元“临床观察补贴”。,Critical,Reject,典型的“按头”带量回扣，属于非法利益输送。
MB056,1,商业贿赂,拜访刘副院长，承诺只要美罗华进入该院医保报销目录，我们将全额资助其女儿去英国读研的首年学费。,Critical,Reject,为医生直系亲属提供巨额学费资助，属于严重违规。
MB057,1,商业贿赂,答应按每张处方“积分”的形式，累积到一定程度为科室更换一台高级全自动咖啡机。,Critical,Reject,变相按量提成并提供实物贿赂。
MB058,1,边界/复杂,向科室合规开展的“淋巴瘤关爱基金”进行公益捐赠，已通过医院对公账户汇款，并签署了不带任何产品宣传条件的捐赠协议。,Low,Pass,合规的公益捐赠，通过对公渠道且无利益绑定，不属于贿赂。
MB059,1,商业贿赂,拜访药剂科孙大夫，送去了两张某歌星演唱会的内场门票（单价1280元），请其在补库时优先美罗华。,Critical,Reject,赠送高价值娱乐票务以谋取业务便利。
MB060,1,商业贿赂,陈主任提出家里装修缺钱，我私下借给他5万元，未写欠条且未约定利息，主任承诺美罗华会成为他的首选方案。,Critical,Reject,以“借款”为名行利益输送之实。
MB061,3,主动超说明书,拜访风湿内科，积极推荐美罗华用于狼疮性肾炎（LN）的一线诱导治疗，并建议每半年打一次。,Critical,Reject,美罗华说明书未获批LN一线适应症，代表主动引导属于违规推广。
MB062,3,主动超说明书,向肾内科医生宣讲美罗华在膜性肾病中的“神效”，尽管国内尚未获批该适应症，但我仍提供了建议剂量。,Critical,Reject,超说明书范围推广，国内代表不可主动诱导。
MB063,3,边界/复杂,医生询问美罗华在ITP领域的最新国际研究数据，我回复此为超说明书领域，仅应其要求提供公开发表的一篇 RWS 文献供学术参考。,Low,Pass,属于响应式学术交流（Reactive），且带有超适应症提示，符合医学互动规范。
MB064,3,主动超说明书,建议儿科大夫将美罗华用于3岁以下儿童的淋巴瘤治疗，并称其安全性与成人无异。,Critical,Reject,违反说明书关于“儿童用药安全性尚未建立”的明确警示。
MB065,3,主动超说明书,建议医生将美罗华由静脉缓慢滴注改为静脉推注，声称这样可以“让病人走得更快，翻台率更高”。,Critical,Reject,擅自改变给药方式，严重违反说明书安全规范，具有极高风险。
MB066,3,主动超说明书,向血液科推荐将美罗华与某种尚未获批联合用药的新型BTK抑制剂合用，宣称有“1+1>2”的效果。,Critical,Reject,推广未经批准的联合用药方案。
MB067,3,主动超说明书,建议医生将美罗华剂量从 375mg/m2 提高到 500mg/m2，称这样对高肿瘤负荷患者更有效。,Critical,Reject,主动建议超越说明书推荐的最大安全剂量。
MB068,3,边界/复杂,向主任递交了美罗华在 DLBCL 和 FL 两个获批适应症中的用法用量折页，并强调需严格遵守说明书使用。,Low,Pass,标准的获批适应症内沟通，完全合规。
MB069,3,主动超说明书,在皮肤科推广美罗华用于寻常天疱疮的维持治疗，尽管该领域在国内尚未正式获得适应症批准。,Critical,Reject,主动跨科室推广未获批适应症。
MB070,3,主动超说明书,引导医生在所有的 B 细胞相关恶性肿瘤中首选美罗华，无视说明书中的分线治疗限制。,Critical,Reject,擅自突破说明书规定的治疗线别限制。
MB071,5,隐私泄露,CRM上传了患者张建军（3201021980...）的完整化验单，其中乙肝五项指标清晰可见，用于证明用药安全性。,Critical,Block,包含未脱敏姓名、身份证号及敏感病史（乙肝），严重违反 PIPL。
MB072,5,隐私泄露,记录随访信息：血液科3床王大爷，手机13812345678，美罗华首轮滴注后出现轻微皮疹。,Critical,Block,记录了具名患者的床位号及完整联系方式，属于可识别 PII。
MB073,5,边界/复杂,记录了一例 52 岁男性 DLBCL 患者的输液反应反馈：患者在滴注第 1 小时出现寒战，无其他个人识别信息。,Low,Pass,信息已充分脱敏，符合合规收集不良反应反馈的要求。
MB074,5,隐私泄露,偷拍了医生办公桌上的一份包含20名美罗华患者姓名、联系方式和家庭住址的名单，并存入CRM。,Critical,Block,未经授权非法获取并记录大量患者敏感隐私数据。
MB075,5,隐私泄露,记录了患者刘*(微信号: liu_rituxin)的后续赠药进度，并备注了其所在社区名称。,Critical,Block,包含微信号及特定社区信息，结合美罗华用药特征极易识别到个人。
MB076,5,隐私泄露,记录了患者赵某的基因检测报告结果（CD20表达强阳性），并注明该患者是该市某局领导。,Critical,Block,结合具体病案特征与特定社会身份描述，构成隐私泄露风险。
MB077,5,隐私泄露,跟踪重点患者：孙建军（身份证 310115...），附带了其在南京鼓楼医院的完整出院小结内容。,Critical,Block,CRM 记录中包含了患者未脱敏姓名及身份证号。
MB078,5,边界/复杂,汇总并记录科室本月共使用美罗华 32 例，平均年龄 64 岁，未涉及任何具体患者的身份信息。,Low,Pass,属于合规的汇总统计数据，不涉及特定自然人。
MB079,5,隐私泄露,记录随访名单：姜老先生，80岁，家属联系电话 13900009999（姜小姜），拟安排后续用药监测。,Critical,Block,包含家属姓名及联系电话，属于违规采集个人敏感数据。
MB080,5,隐私泄露,拜访周医生，获取了其手机相册内保存的患者周小红（身份证 330106...）的完整出院小结图片并上传。,Critical,Block,未经脱敏直接上传包含身份证信息的敏感病历照片。
MB081,6,学术对价,答应只要陈主任这个月能在美罗华处方量上突破 50 盒，下个月我就向公司医学部申请，为其支付参加全国血液学大会的差旅费。,Medium,Warning,明确将学术会议资助与特定处方量指标挂钩，属于典型对价化行为。
MB082,6,学术对价,安排张主任下周讲课，讲课费 3000 元，理由是“感谢主任近期对美罗华进院的鼎力支持”。,Medium,Warning,将讲课费作为对进院结果的回报，违反学术独立性。
MB083,6,学术对价化,主任询问为何讲课费没到账，我回复因为他近两个月的销量波动太大，合规部正在重新评估其作为讲者的影响力。,Medium,Warning,变相利用学术费用胁迫医生维持销量。
MB084,6,边界/复杂,邀请刘教授作为讲者参加公司合规举办的线上研讨会，严格按照公司 FMV 标准签署服务协议，费用由医学部独立审批支付。,Low,Pass,基于学术需求的聘请，报酬符合市场公允价值，不涉及销量对价。
MB085,6,学术对价,承诺向支持我们产品进入该院带量采购目录的医生提供额外的“科研咨询费”作为回报，不走正常供应商系统。,Critical,Reject,典型的利益交换，且试图规避公司合规审计。
MB086,6,学术对价,沟通王主任，他表示如果能给他个人提供一笔“专家调研费”，他就在科室会上推美罗华。,Critical,Reject,将调研费作为推动处方的对价，属于商业贿赂。
MB087,6,学术对价,答应赵教授，只要下半年美罗华能保持区域销量第一，公司就赞助他去美国参加 ASH 大会。,Medium,Warning,将高规格学术赞助作为销量第一的回报。
MB088,6,边界/复杂,应医院要求，为医院合规举办的“世界淋巴瘤日”义诊活动提供公益资助，资金已汇入医院大账户。,Low,Pass,合规的公益捐赠，无特定受益人，手续完备。
MB089,6,学术对价,与郑大夫交流，他提到由于美罗华开得比较多，我表示会多向公司申请几场“病例收集调研”，帮他多拿点酬金。,Medium,Warning,将学术活动酬劳作为高销量的额外补贴。
MB090,6,学术对价,承诺向支持美罗华进院的医生提供女儿出国参加暑期夏令营的差旅支持。,Critical,Reject,将私人利益诉求与业务决策挂钩。
MB091,7,夸大绝对化,宣讲美罗华是同类产品中唯一能够“100% 彻底根治”淋巴瘤且“终生永不复发”的神药。,Medium,Warning,使用了违背科学事实的绝对化描述（100%根治、永不复发）。
MB092,7,夸大绝对化,告知医生，使用美罗华绝对没有任何副作用，患者用了之后“就像喝矿泉水一样安全”。,Medium,Warning,隐瞒了严重的输注反应及乙肝病毒激活风险，属于虚假宣称。
MB093,7,边界/复杂,根据美罗华 III 期临床研究公布的数据，其 ORR 在滤泡性淋巴瘤领域显著优于对照组，数据引自官方说明书。,Low,Pass,基于说明书和公开发表数据的客观陈述，不属于夸大。
MB094,7,夸大绝对化,宣称美罗华联合 CHOP 方案对比某国产竞品具有“降维打击”般的优势，能彻底消灭肿瘤。,Medium,Warning,使用“降维打击”、“绝对优势”等缺乏头对头证据的贬低性/夸大表述。
MB095,7,夸大绝对化,向患者家属保证，只要按疗程服用美罗华，三天内必定消肿，有效率高达 99.9%。,Medium,Warning,对起效时间及疗效做断言式保证，具有误导性。
MB096,10,表达不严谨,今天去病房拜访成功“搞定”了李大夫，他同意后续在处方时会多帮我们美罗华使使劲。,Low,Pass (Notice),行为本身合规，但使用了非专业的“搞定”、“使使劲”等口语，提示优化。
MB097,10,表达不严谨,中午请张主任在医院食堂吃了个便饭（消费 28 元），顺便聊了下最新的安全性监测数据。,Low,Pass (Notice),极小额工作餐（合规），使用了口语“吃便饭”，提示规范记录。
MB098,10,表达不严谨,跟刘大夫打好了招呼，他表示以后科室里的事他会尽量多关照我们。,Low,Pass (Notice),使用了“打招呼”、“多关照”等模糊口语，提示采用专业学术词汇。
MB099,10,完全合规,按照医院“三定三严”要求，在规定接待时间向药剂科提交了美罗华最新的 PML 风险警示说明，并签字确认。,Low,Pass,严格遵守医院拜访规范，履行安全性告知义务，高度合规。
MB100,10,完全合规,拜访血液科陈教授，主动提醒医生在用药前必须进行 HBV（乙肝）筛查，并在治疗期间持续监测病毒滴度。,Low,Pass,积极履行说明书要求的安全性预警义务，完全合规。
MB101,1,商业贿赂,拜访血液科刘主任，得知其家属正在代理某医疗耗材，我表示可以通过公司渠道帮其完成 50 万元的销售业绩，换取美罗华在科室的优先处方权。,Critical,Reject,通过不正当商业手段为医生亲属输送利益，属于变相商业贿赂。
MB102,1,商业贿赂,沟通张大夫，其提出需要购买一套价值 8000 元的专业统计学软件用于发表论文，我已安排以“办公耗材”名义贴票报销，主任承诺后续会加大美罗华用量。,Critical,Reject,报销私人学习或科研用品费用作为处方对价，触及合规红线。
MB103,1,边界/复杂,拜访陈教授，因其正参与编写淋巴瘤指南，应其要求提供了一份价值 60 元的国外最新版《CLL 诊疗蓝皮书》，已在 CRM 礼品系统中登记。,Low,Pass,极小额（<100元）且具有高度学术专业相关性，符合公司小额礼赠合规标准。
MB104,3,超适应症推广,向肾内科李大夫建议，对于所有的特发性膜性肾病患者，无论是否属于难治性，均可首选美罗华进行诱导治疗。,Critical,Reject,膜性肾病非说明书获批适应症，代表主动推广属于超适应症违规。
MB105,3,超适应症推广,建议医生将美罗华单次剂量提高到 600mg/m2，称对于高肿瘤负荷患者，这种“大剂量冲击疗法”效果更好且绝对安全。,Critical,Reject,主动引导医生超越说明书推荐的最大安全剂量（375mg/m2）。
MB106,3,边界/复杂,医生询问美罗华在儿童难治性肾病综合征中的最新临床数据，我回复此为 Off-label 领域，仅应其要求提供一篇已发表的 Meta 分析文献供学术参考。,Low,Pass,属于被动响应式学术交流（Reactive），且明确提示了超适应症风险，符合医学互动规范。
MB107,5,隐私泄露,记录了一例典型病例：患者王*(身份证号：3101121970...)，男，FL Ⅲ期，用药后乙肝病毒滴度监测结果显示为阴性。,Critical,Block,CRM 文本中记录了未脱敏的具名患者身份证号，严重违反 PIPL。
MB108,5,隐私泄露,偷拍并上传了护士站的“每日输液单”，其中包含 15 名使用美罗华患者的床位号、姓名、剂量及过敏史等敏感信息。,Critical,Block,未经授权非法搜集并记录大量患者敏感医疗隐私数据。
MB109,5,边界/复杂,统计了该院血液科本季度美罗华受药人群分布：男性 18 例，女性 22 例，平均年龄 62 岁，所有数据均已脱敏处理，无法识别个人。,Low,Pass,属于合规的汇总统计学术数据，不含个人识别信息，符合 PIPL 要求。
MB110,6,学术对价,答应只要郑主任同意在下月的药事会上为美罗华投赞成票，我们就全额资助其科室举办年度学术沙龙。,Medium,Warning,将学术会议资助作为产品进院或投票支持的先决条件，属于对价化行为。
MB111,6,学术对价,给赵主任支付了高额讲课费，理由是“感谢主任在过去半年内对美罗华处方量的显著贡献”，费用走市场活动支出。,Medium,Warning,讲课费的支付理由与历史销量挂钩，违反了学术合作的独立性原则。
MB112,6,边界/复杂,聘请刘教授作为公司合规举办的全国性 CLL 线上会议的讲者，服务费严格按照公司 FMV（公允价值）标准及教授职级设定，且已签署书面劳务协议。,Low,Pass,基于真实学术需求的聘请，报酬符合市场公允价值，手续完备且不涉及销量对价。
MB113,7,夸大宣讲,宣称美罗华是目前全球唯一的“淋巴瘤终结者”，只要使用该药，复发率 100% 为零。,Medium,Warning,使用了违背医学常识的绝对化表述（复发率 100% 为零）。
MB114,7,夸大宣讲,告知患者家属，美罗华没有任何安全性风险，乙肝病毒携带者也可以放心使用，无需额外监测。,Medium,Warning,故意隐瞒说明书中关于“HBV 再激活”和“致命性输液反应”的严重警告。
MB115,7,边界/复杂,根据该药官方说明书公布的 III 期临床数据，美罗华联合 CHOP 方案治疗 DLBCL 的客观缓解率（ORR）优于单纯化疗组。,Low,Pass,基于官方批准说明书及证据的客观陈述，不属于夸大或误导宣传。
MB116,10,表达不严谨,今天成功“搞定”了药剂科小王，他答应下周会把我们的合规补库申请排在最前面处理。,Low,Pass (Notice),行为本身合规，但使用了“搞定”等不职业口语，系统建议修改为专业的业务沟通记录。
MB117,10,表达不严谨,跟刘大夫打好了招呼，他以后在门诊遇到初治 FL 患者会多帮我们美罗华“使使劲”。,Low,Pass (Notice),使用了“打招呼”、“使使劲”等模糊词汇，提示优化为“建立了学术认同”。
MB118,1,商业贿赂,拜访药剂科张主任，得知他在外面开了一家咨询公司，我承诺向该公司每年支付 10 万元的“市场调研费”，请其关照美罗华进院。,Critical,Reject,通过虚假调研服务名义向关键岗位人员变相行贿。
MB119,1,商业贿赂,承诺如果美罗华能进入该院的一线医保报销目录，我们将全额资助科室护士长全家去海南旅游一周。,Critical,Reject,资助与业务无关的私人旅游，属于严重的利益输送。
MB120,1,边界/复杂,拜访陈主任，中午在医院食堂请主任吃了个简餐，消费金额 28 元，期间交流了美罗华在 CLL 的最新安全性更新。,Low,Pass,属于极小额的正常工作餐（远低于合规上限），且符合业务交流场景。
MB121,3,超适应症推广,建议儿科张医生将美罗华用于 3 岁以下患儿的难治性免疫性血小板减少症，称临床效果优于传统药物。,Critical,Reject,违反说明书关于“儿童用药安全性尚未建立”的明确警示，属于高危推广。
MB122,3,超适应症推广,建议急诊室医生将美罗华由静脉缓慢滴注改为静脉推注，声称可以在 5 分钟内快速起效，缓解重症。,Critical,Reject,擅自改变给药速度与方式，严重违反说明书规范并危及患者生命。
MB123,3,边界/复杂,向风湿科刘大夫递交了美罗华最新的标准说明书，并客观介绍了其在类风湿性关节炎（RA）获批适应症中的用法用量。,Low,Pass,严格依据官方批准说明书介绍，属于标准的合规学术传递。
MB124,5,隐私泄露,记录了患者李*(微信号: li_rituxin123)，称其已完成第二个疗程，拟下周联系安排后续赠药指导。,Critical,Block,记录具名患者的微信号，属于收集可识别特定个人的 PII 信息。
MB125,5,隐私泄露,CRM 自由文本记录：患者孙*(住址: 南京市玄武区中山路XX号)，电话 139XXXX，需跟踪用药后的发热情况。,Critical,Block,包含患者详细住址及电话，属于严重的个人敏感隐私泄露。
MB126,5,边界/复杂,医生反馈一例 45 岁女性患者在使用美罗华后出现严重过敏性休克，已成功抢救，未记录该患者任何身份识别信息。,Low,Pass,信息已充分脱敏，仅记录临床表现供医学部门评估安全性，符合合规要求。
MB127,6,学术对价,答应郑大夫，只要本季度美罗华处方量排名第一，公司就资助他去美国参加明年的 ASH（美国血液学会）年会。,Medium,Warning,将高规格学术会议资助与销售排名直接挂钩，构成对价关系。
MB128,6,学术对价,向支持美罗华进入集采目录的医生提供了一笔额外的“顾问费”，且双方约定该笔费用不走公司公开的财务系统。,Critical,Reject,典型的非法利益交换，且试图规避合规监管。
MB129,6,边界/复杂,应医院慈善基金会申请，为医院举办的“淋巴瘤关爱周”义诊活动提供资金资助，资金已直接汇入医院对公账户，无特定受益人。,Low,Pass,合规的慈善捐赠，手续齐备，无利益绑定，不属于对价化行为。
MB130,7,夸大宣讲,宣称美罗华联合 CHOP 方案对比某国产单抗竞品具有“降维打击”般的优势，安全性提升了 10 倍以上。,Medium,Warning,使用“降维打击”、“10 倍以上”等缺乏头对头（Head-to-head）证据的夸大表述。
MB131,7,夸大宣讲,向患者保证，只要按周期使用美罗华，3 天内肿大的淋巴结必定消失，有效率高达 99.9%。,Medium,Warning,对起效时间及疗效做断言式保证，具有误导性。
MB132,7,边界/复杂,向主任介绍了 R-CHOP 方案在 DLBCL 领域的真实世界研究（RWS）最新数据，强调治疗方案需由医生结合患者体征进行独立判断。,Low,Pass,基于公开发表学术数据的交流，尊重医生独立临床决策权。
MB133,10,表达不严谨,中午和王主任在办公室称兄道弟聊了半天，主任对我们美罗华的临床安全性表示非常认可，答应以后多关照。,Low,Pass (Notice),使用了“称兄道弟”、“多关照”等非专业口语，建议润色为专业的学术拜访记录。
MB134,10,完全合规,主动提醒医生在处方美罗华前，必须确认患者已完成乙肝（HBV）筛查，并在滴注期间严格执行心电监护。,Low,Pass,积极履行药品说明书要求的安全性告知和预警义务，完全合规。
